dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20190111;02;XRXB34;010;XEROX CORP;DRN;;R$;0000000008173;0000000008173;0000000008173;0000000008173;0000000008173;0000000000000;00001;000000000000003100;000000000025336300;0000000000000;0;99991231;0000001;0000000000000;BRXRXBBDR005;124
20190114;02;AALR3;010;ALLIAR;ON      NM;;R$;0000000001316;0000000001322;0000000001312;0000000001318;0000000001315;0000000001315;00742;000000000000200700;000000000264682700;0000000000000;0;99991231;0000001;0000000000000;BRAALRACNOR6;100
20190111;12;XTED11;010;FII TRXE COR;CI;;R$;0000000001915;0000000001943;0000000001802;0000000001845;0000000001868;0000000001809;00025;000000000000000464;000000000000856232;0000000000000;0;99991231;0000001;0000000000000;BRXTEDCTF006;143
20190114;02;AAPL34;010;APPLE;DRN;;R$;0000000005798;0000000005874;0000000005524;0000000005604;0000000005526;0000000005526;00044;000000000000019900;000000000111533200;0000000000000;0;99991231;0000001;0000000000000;BRAAPLBDR004;127
20190114;10;ABCB2;010;ABC BRASIL;DIR PRE N2;;R$;0000000000461;0000000000490;0000000000448;0000000000470;0000000000470;0000000000467;00125;000000000000027900;000000000013118700;0000000000000;0;99991231;0000001;0000000000000;BRABCBD14PR2;130
20190114;02;ABCB4;010;ABC BRASIL;PN      N2;;R$;0000000001804;0000000001820;0000000001784;0000000001805;0000000001815;0000000001813;02090;000000000000422900;000000000763434800;0000000000000;0;99991231;0000001;0000000000000;BRABCBACNPR4;131
20190114;12;ABCP11;010;FII ABC IMOB;CI;;R$;0000000001809;0000000001815;0000000001805;0000000001812;0000000001812;0000000001809;00689;000000000000018979;000000000034407088;0000000000000;0;99991231;0000001;0000000000000;BRABCPCTF000;279
20190114;02;ABEV3;010;AMBEV S/A;ON;;R$;0000000001724;0000000001766;0000000001710;0000000001749;0000000001754;0000000001752;48520;000000000031707300;000000055460853100;0000000000000;0;99991231;0000001;0000000000000;BRABEVACNOR1;121
20190114;02;ADHM3;010;ADVANCED-DH;ON;;R$;0000000000141;0000000000145;0000000000140;0000000000140;0000000000140;0000000000139;00008;000000000000003000;000000000000422600;0000000000000;0;99991231;0000001;0000000000000;BRADHMACNOR9;101
20190114;12;AEFI11;010;FII AESAPAR;CI;;R$;0000000016200;0000000016245;0000000015921;0000000016099;0000000015977;0000000016000;00249;000000000000001898;000000000030557634;0000000000000;0;99991231;0000001;0000000000000;BRAEFICTF002;185
